<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
1993.05.12	1.53700	1.54450	1.52900	1.53380	2781	0	50
1993.05.13	1.53280	1.53600	1.51800	1.52250	2571	0	50
1993.05.14	1.52280	1.54150	1.52000	1.53870	2711	0	50
1993.05.17	1.53650	1.54600	1.53090	1.53550	2921	0	50
1993.05.18	1.53500	1.53800	1.52370	1.53650	2711	0	50
1993.05.19	1.53500	1.54820	1.53280	1.54320	2261	0	50
1993.05.20	1.54250	1.56030	1.53830	1.55650	3001	0	50
1993.05.21	1.55480	1.55920	1.53900	1.54250	2811	0	50
1993.05.24	1.54000	1.54500	1.52890	1.53650	2871	0	50
1993.05.25	1.53850	1.54700	1.53450	1.54200	2151	0	50
1993.05.26	1.54200	1.55050	1.54100	1.54720	1381	0	50
1993.05.27	1.54530	1.56500	1.54250	1.56200	2831	0	50
1993.05.28	1.56100	1.56800	1.55350	1.56070	2871	0	50
1993.05.31	1.56050	1.56300	1.55600	1.56100	1351	0	50
1993.06.01	1.56130	1.56700	1.54600	1.55550	3621	0	50
1993.06.02	1.55440	1.55600	1.53640	1.54000	2481	0	50
1993.06.03	1.54030	1.55010	1.53700	1.55010	1641	0	50
1993.06.04	1.54900	1.55050	1.50600	1.50850	4851	0	50
1993.06.07	1.50630	1.52680	1.50600	1.52680	2111	0	50
1993.06.08	1.52530	1.52650	1.51350	1.52050	2121	0	50
1993.06.09	1.51950	1.52700	1.50690	1.51520	3591	0	50
1993.06.10	1.51370	1.53250	1.50700	1.53050	3421	0	50
1993.06.11	1.52930	1.54050	1.51850	1.52150	3621	0	50
1993.06.14	1.51900	1.53300	1.51900	1.52850	1851	0	50
1993.06.15	1.52750	1.53550	1.51400	1.51650	3201	0	50
1993.06.16	1.51550	1.52000	1.49800	1.50620	3471	0	50
1993.06.17	1.50550	1.51870	1.49850	1.51400	3191	0	50
1993.06.18	1.51420	1.51700	1.49200	1.49750	3331	0	50
1993.06.21	1.49400	1.49800	1.47990	1.48850	3071	0	50
1993.06.22	1.48830	1.49050	1.47400	1.47780	2251	0	50
1993.06.23	1.47800	1.48100	1.46700	1.47350	2351	0	50
1993.06.24	1.47200	1.47610	1.46370	1.46900	2181	0	50
1993.06.25	1.46830	1.48350	1.46700	1.47620	2511	0	50
1993.06.28	1.47850	1.49750	1.47500	1.49590	2761	0	50
1993.06.29	1.49540	1.51550	1.48940	1.51230	3531	0	50
1993.06.30	1.51200	1.51350	1.48850	1.49080	2881	0	50
1993.07.01	1.48980	1.51750	1.48670	1.51500	3641	0	50
1993.07.02	1.51500	1.52550	1.50550	1.50700	3201	0	50
1993.07.05	1.50800	1.51450	1.50450	1.51050	1751	0	50
1993.07.06	1.50950	1.51300	1.50150	1.50400	1751	0	50
1993.07.07	1.50300	1.50770	1.49000	1.49550	2791	0	50
1993.07.08	1.49420	1.49950	1.48900	1.49700	1821	0	50
1993.07.09	1.49500	1.49900	1.47650	1.48000	3001	0	50
1993.07.12	1.48400	1.48750	1.47200	1.47900	2601	0	50
1993.07.13	1.47800	1.49950	1.47350	1.49700	3301	0	50
1993.07.14	1.49780	1.50520	1.48850	1.50250	2871	0	50
1993.07.15	1.50250	1.50350	1.48450	1.48900	2451	0	50
1993.07.16	1.49050	1.49150	1.47400	1.48600	3051	0	50
1993.07.19	1.48450	1.50180	1.48300	1.49950	2261	0	50
1993.07.20	1.49750	1.51400	1.49550	1.51220	2231	0	50
1993.07.21	1.51050	1.52200	1.50750	1.51600	2351	0	50
1993.07.22	1.51510	1.51730	1.50200	1.51400	2951	0	50
1993.07.23	1.51000	1.51300	1.49150	1.50350	3651	0	50
1993.07.26	1.50400	1.50580	1.49400	1.50150	2111	0	50
1993.07.27	1.50120	1.50220	1.48680	1.48980	1941	0	50
1993.07.28	1.48800	1.49750	1.48450	1.49600	1801	0	50
1993.07.29	1.49500	1.50150	1.48000	1.48000	2801	0	50
1993.07.30	1.48120	1.48900	1.47500	1.48150	2771	0	50
1993.08.02	1.47900	1.50900	1.47590	1.50130	4391	0	50
1993.08.03	1.50120	1.50950	1.49400	1.50000	2981	0	50
1993.08.04	1.50000	1.50550	1.49750	1.50100	1501	0	50
1993.08.05	1.50160	1.50470	1.48950	1.49640	2521	0	50
1993.08.06	1.49580	1.49950	1.48500	1.49790	2691	0	50
1993.08.09	1.49700	1.49900	1.48900	1.49100	1401	0	50
1993.08.10	1.49080	1.49180	1.46500	1.46680	2961	0	50
1993.08.11	1.46680	1.47950	1.46680	1.47250	1971	0	50
1993.08.12	1.47150	1.47820	1.45640	1.46500	3711	0	50
1993.08.13	1.46500	1.47050	1.45500	1.45900	2501	0	50
1993.08.16	1.46000	1.49400	1.45950	1.49100	3801	0	50
1993.08.17	1.48850	1.49700	1.48440	1.48800	2471	0	50
1993.08.18	1.48820	1.51830	1.48450	1.51500	4081	0	50
1993.08.19	1.51470	1.52150	1.50000	1.50450	3281	0	50
1993.08.20	1.50450	1.51800	1.49850	1.51500	2851	0	50
1993.08.23	1.51450	1.51900	1.50000	1.50500	2851	0	50
1993.08.24	1.50500	1.50600	1.49200	1.49850	2151	0	50
1993.08.25	1.49780	1.49950	1.47800	1.48200	2721	0	50
1993.08.26	1.48150	1.51630	1.48050	1.50900	4411	0	50
1993.08.27	1.50900	1.51550	1.49590	1.50300	3321	0	50
1993.08.30	1.50380	1.50450	1.48650	1.49370	2591	0	50
1993.08.31	1.49200	1.50150	1.48470	1.49120	3281	0	50
1993.09.01	1.49050	1.50900	1.48550	1.50350	3401	0	50
1993.09.02	1.50150	1.50820	1.49250	1.50370	2921	0	50
1993.09.03	1.50220	1.53230	1.49850	1.53000	3981	0	50
1993.09.06	1.52900	1.53800	1.52550	1.52680	2281	0	50
1993.09.07	1.52630	1.54650	1.52380	1.53880	3291	0	50
1993.09.08	1.53780	1.54600	1.53100	1.54180	2601	0	50
1993.09.09	1.54200	1.55800	1.53650	1.54880	3621	0	50
1993.09.10	1.54850	1.55750	1.54210	1.55250	2681	0	50
1993.09.13	1.54850	1.55800	1.54050	1.54500	3151	0	50
1993.09.14	1.54550	1.55000	1.53690	1.54450	2521	0	50
1993.09.15	1.54200	1.55700	1.53700	1.54850	3351	0	50
1993.09.16	1.54850	1.55200	1.52750	1.53100	3151	0	50
1993.09.17	1.53100	1.53800	1.52400	1.53200	2701	0	50
1993.09.20	1.53000	1.53600	1.52550	1.53380	1721	0	50
1993.09.21	1.53280	1.54350	1.50050	1.51650	6971	0	50
1993.09.22	1.51550	1.52350	1.51000	1.51750	2501	0	50
1993.09.23	1.51700	1.52050	1.50200	1.50550	2551	0	50
1993.09.24	1.50520	1.51050	1.49150	1.50800	3521	0	50
1993.09.27	1.51450	1.51750	1.50950	1.51270	1421	0	50
1993.09.28	1.51200	1.51950	1.50340	1.51300	3121	0	50
1993.09.29	1.51300	1.51670	1.50890	1.51350	1511	0	50
1993.09.30	1.50950	1.51350	1.49400	1.49500	2451	0	50
1993.10.01	1.49500	1.50950	1.48850	1.50400	3301	0	50
1993.10.04	1.49500	1.52150	1.49330	1.51550	3591	0	50
1993.10.05	1.51450	1.52600	1.51080	1.51750	2741	0	50
1993.10.06	1.51610	1.53050	1.51350	1.52450	2561	0	50
1993.10.07	1.52460	1.52850	1.51950	1.52250	1591	0	50
1993.10.08	1.52200	1.53900	1.52000	1.53400	2601	0	50
1993.10.11	1.53300	1.53950	1.52800	1.53120	2121	0	50
1993.10.12	1.53050	1.53720	1.52550	1.53200	2191	0	50
1993.10.13	1.53150	1.53450	1.51890	1.52190	2161	0	50
1993.10.14	1.52140	1.53250	1.51140	1.51550	3631	0	50
1993.10.15	1.51450	1.51900	1.50800	1.51050	1801	0	50
1993.10.18	1.50750	1.50900	1.48350	1.48550	2901	0	50
1993.10.19	1.48700	1.49550	1.48250	1.48820	2481	0	50
1993.10.20	1.48750	1.49850	1.48430	1.49380	2211	0	50
1993.10.21	1.49400	1.49940	1.48200	1.48400	2481	0	50
1993.10.22	1.48350	1.48900	1.47000	1.47200	2651	0	50
1993.10.25	1.47850	1.49200	1.47600	1.47870	3181	0	50
1993.10.26	1.47800	1.48600	1.47250	1.48030	2471	0	50
1993.10.27	1.48000	1.48600	1.47650	1.48110	1791	0	50
1993.10.28	1.48030	1.49800	1.47250	1.48900	4231	0	50
1993.10.29	1.48880	1.49200	1.47800	1.47800	1721	0	50
1993.11.01	1.48250	1.48700	1.47720	1.48120	1831	0	50
1993.11.02	1.48050	1.48650	1.47050	1.47360	2511	0	50
1993.11.03	1.47290	1.48600	1.47050	1.48350	2041	0	50
1993.11.04	1.48350	1.48750	1.47700	1.48140	1891	0	50
1993.11.05	1.48050	1.48830	1.47400	1.48200	2711	0	50
1993.11.08	1.48500	1.48750	1.47890	1.48070	1291	0	50
1993.11.09	1.48050	1.48500	1.46350	1.46980	3231	0	50
1993.11.10	1.46880	1.48050	1.46500	1.47900	2081	0	50
1993.11.11	1.48050	1.48200	1.47450	1.47560	1011	0	50
1993.11.12	1.47560	1.49810	1.47220	1.49200	3541	0	50
1993.11.15	1.49180	1.49650	1.48550	1.48720	1741	0	50
1993.11.16	1.48680	1.49100	1.47500	1.48070	2591	0	50
1993.11.17	1.47980	1.48450	1.47350	1.47900	2121	0	50
1993.11.18	1.47780	1.48200	1.47250	1.47700	1821	0	50
1993.11.19	1.47600	1.48000	1.46900	1.47350	1951	0	50
1993.11.22	1.47300	1.47850	1.46930	1.47550	1591	0	50
1993.11.23	1.47450	1.49000	1.47100	1.48600	2651	0	50
1993.11.24	1.48550	1.49550	1.48500	1.48750	1901	0	50
1993.11.25	1.48750	1.49000	1.48400	1.48900	1051	0	50
1993.11.26	1.48790	1.49000	1.47380	1.47850	2301	0	50
1993.11.29	1.48150	1.49100	1.47740	1.48910	1961	0	50
1993.11.30	1.48840	1.49120	1.47790	1.48630	2451	0	50
1993.12.01	1.48560	1.48700	1.47550	1.47850	1591	0	50
1993.12.02	1.47750	1.48650	1.47650	1.48350	1401	0	50
1993.12.03	1.48450	1.49630	1.48050	1.49000	2611	0	50
1993.12.06	1.49270	1.50600	1.49100	1.50340	1931	0	50
1993.12.07	1.50340	1.50450	1.49020	1.49300	1821	0	50
1993.12.08	1.49250	1.50050	1.48600	1.49280	2871	0	50
1993.12.09	1.49310	1.49750	1.49000	1.49470	1341	0	50
1993.12.10	1.49400	1.50150	1.49180	1.49500	1841	0	50
1993.12.13	1.49350	1.49800	1.48850	1.49050	1601	0	50
1993.12.14	1.48950	1.49300	1.48400	1.48850	1701	0	50
1993.12.15	1.48800	1.49020	1.47600	1.47800	1841	0	50
1993.12.16	1.47800	1.49000	1.47800	1.48740	1461	0	50
1993.12.17	1.48670	1.49300	1.48500	1.48740	1531	0	50
1993.12.20	1.48750	1.49000	1.48330	1.48580	1171	0	50
1993.12.21	1.48650	1.49150	1.48600	1.48870	881	0	50
1993.12.22	1.48800	1.49850	1.48670	1.49670	1491	0	50
1993.12.23	1.49600	1.51000	1.49300	1.50400	2601	0	50
1993.12.24	1.50300	1.50630	1.49800	1.50300	1661	0	50
1993.12.27	1.50200	1.50800	1.49740	1.50460	1861	0	50
1993.12.28	1.50400	1.51150	1.50120	1.50720	1741	0	50
1993.12.29	1.50620	1.50800	1.47200	1.47900	4481	0	50
1993.12.30	1.47800	1.48680	1.47370	1.47670	2491	0	50
1993.12.31	1.47570	1.48360	1.47500	1.47650	1641	0	50
1994.01.03	1.47800	1.48500	1.47440	1.47520	1841	0	50
1994.01.04	1.47540	1.48770	1.47400	1.48580	1701	0	50
1994.01.05	1.48580	1.49060	1.48100	1.48600	1901	0	50
1994.01.06	1.48640	1.49020	1.47900	1.48120	1721	0	50
1994.01.07	1.48100	1.49600	1.48000	1.49300	2001	0	50
1994.01.10	1.49200	1.49850	1.49050	1.49350	1451	0	50
1994.01.11	1.49260	1.49600	1.48670	1.49050	1651	0	50
1994.01.12	1.48950	1.50650	1.48950	1.50300	2051	0	50
1994.01.13	1.50350	1.50700	1.49230	1.49630	2221	0	50
1994.01.14	1.49530	1.49910	1.48720	1.49280	2131	0	50
1994.01.17	1.48820	1.49500	1.48700	1.49450	971	0	50
1994.01.18	1.49350	1.49920	1.49250	1.49570	1121	0	50
1994.01.19	1.49430	1.50220	1.48900	1.49270	2481	0	50
1994.01.20	1.49170	1.50250	1.48750	1.49700	2471	0	50
1994.01.21	1.49650	1.50400	1.49050	1.49230	2281	0	50
1994.01.24	1.49100	1.49700	1.48950	1.49380	1221	0	50
1994.01.25	1.49350	1.49650	1.49150	1.49570	781	0	50
1994.01.26	1.49500	1.49800	1.49110	1.49520	1361	0	50
1994.01.27	1.49450	1.51200	1.49090	1.50800	2871	0	50
1994.01.28	1.50700	1.50960	1.49400	1.49540	1961	0	50
1994.01.31	1.49300	1.50830	1.49300	1.50740	1621	0	50
1994.02.01	1.50640	1.50970	1.49750	1.50130	1931	0	50
1994.02.02	1.50060	1.50200	1.49240	1.49430	1291	0	50
1994.02.03	1.49370	1.50130	1.48250	1.48670	3061	0	50
1994.02.04	1.48600	1.49970	1.47200	1.47690	4631	0	50
1994.02.07	1.47400	1.48500	1.47400	1.48430	1171	0	50
1994.02.08	1.48340	1.48850	1.46480	1.46720	3121	0	50
1994.02.09	1.46670	1.47200	1.45700	1.46050	2381	0	50
1994.02.10	1.46050	1.46500	1.45400	1.46330	1921	0	50
1994.02.11	1.46260	1.46900	1.45800	1.46250	2191	0	50
1994.02.14	1.46400	1.49400	1.46250	1.48460	4241	0	50
1994.02.15	1.48480	1.48650	1.46920	1.47360	2341	0	50
1994.02.16	1.47220	1.48300	1.46980	1.47640	2221	0	50
1994.02.17	1.47600	1.48140	1.47200	1.48020	1461	0	50
1994.02.18	1.47960	1.48520	1.47580	1.48200	1641	0	50
1994.02.21	1.48000	1.48300	1.47250	1.47470	1571	0	50
